embedding_id,Tipo,Talla,Color,Temporada,Genero,Estilo,Pais,Marca,Modelo,Ruta_Imagen
162,Jeans de trabajo con franja reflectante,M,Azul índigo oscuro,Todas,Hombre,Ropa de trabajo | Industrial,México,Safet,Refle,Jaime Fraire\Imagen 7\Imagen 7.webp
163,Camiseta de manga corta,S,Blanco con estampado de estrellas azules,Primavera | Verano,Mujer,Urbano | Casual,México,Starlight Apparel,Stellar Tee,Jaime Fraire\Imagen 8\Imagen 8.webp
164,Conjunto deportivo de camiseta,M,Negro,Primavera | Verano,Unisex,Deportivo | Casual,Taiwán,AeroFlow,Dynamic Duo,Jaime Fraire\Imagen 9\Imagen 9.webp
165,tweed jacket,M,Blanco,Primavera,Mujer,Old mone,,Sfera,,Jesus Elias Oros García\01\01.webp
166,Polo Regular Fit con L.12.12,M,Negro,Primavera | Verano,Hombre,Casual,,Lacoste,,Jesus Elias Oros García\02\02.webp
167,Tenis de piel,25 CM | 26 CM | 26.5 CM | 27.5 CM | 28 CM | 29 CM,Negro,Continua,Hombre,Casual,,Tomm,,Jesus Elias Oros García\03\03.webp
168,Falda Short Verde Olivo De Tweed,S,Negro,Otoño | Invierno,Mujer,Elegante | Vintage,,Julio,,Jesus Elias Oros García\04\04.webp
169,Sudadera con capucha,L,Azul grisáceo con detalles en negro,Otoño | Invierno,Hombre,Casual deportivo con toques modernos,,Ferrioni,Dahlia,Jesus Elias Oros García\05\05.webp
170,Tenis de piel,27 CM,Café,Continua,Hombre,Casual | Urbano,,Coach,,Jesus Elias Oros García\06\06.webp
171,Vestido mini a cuadros,S,Rojo con estampado tartán,Otoño | Invierno,Mujer,Prepp | O dark academ,,Mi,Layered Mini Dress MIWOWF107G,Jesus Elias Oros García\07\07.webp
172,Bota de piel,28 CM,Verde olivo,Continua,Hombre,Casual | Urbano,,Levi's,,Jesus Elias Oros García\08\08.webp
173,Guantes térmicos tejidos,UNITALLA,Azul,Invierno,Unisex,Casual | Deportivo,,TOCOZOC,,Jesus Elias Oros García\09\09.webp
174,Cinturón reversible de piel,32,Marrón por un lado,Continuo,Hombre,Casual | De vestir,,Timberland,,Jesus Elias Oros García\10\10.webp
175,Vestido Largo con Olanes,M,Blanco con rosas rosas,Primavera | Verano,Mujer,Romántico,,Philosophy,Philosoph,Jesus Elias Oros García\11\11.webp
176,bermuda informal,L | M | XXL,Caqui,Verano,Hombre,Casual | Deportivo | Versátil (,,LEU LEU,,Jesus Elias Oros García\12\12.webp
177,Jeans flare comfort,M,Lavado mezclilla azul medio,Primavera | Verano,Mujer,Casual | Retro | Boho-chic,,Stradivarius,Corte flare ajustado en cadera,Jesus Elias Oros García\13\13.webp
178,Camisa con botones,S | M | L | XXXL | 4XL,Caqui oscuro,Otoño | invierno,Hombre,Casual | Vintage | Trabajo,,Dubinik,,Jesus Elias Oros García\14\14.webp
179,Chamarra tipo blazer,S | M | L | XXL,Negro,Primavera | Verano | Otoño,Hombre,Casual | Formal ligero | Viajes,,Mylldey,,Jesus Elias Oros García\15\15.webp
180,Blusa Tejida,M,Blanco,Verano,Mujer,Escotada,México,Cuidado Con el Perro,112250911040521,Jorge Jiménez\imagen1\imagen1.webp
181,Top sin Mangas a Rayas,M,Blanco con Negro,Verano,Mujer,Tejido cuello redondo | Ruedo en semicirular,México,Cuidado Con el Perro,103250213070186,Jorge Jiménez\imagen10\imagen10.webp
182,Calcetas con Carita Ok,UNITALLA,Blanco con Negro,Anual,Mujer,Urbano,México,Cuidado Con el Perro,512250146030527,Jorge Jiménez\imagen11\imagen11.webp
183,Chaleco,S,Blanco con Azul Marino,Verano,Unisex,Bordado,México,Cuidado Con el Perro,119250652110074,Jorge Jiménez\imagen12\imagen12.webp
184,Playera Peanuts Snoopy,2,Roja,Anual,Unisex,Estampada,México,Cuidado Con el Perro,304250913020756,Jorge Jiménez\imagen13\imagen13.webp
185,Conjunto Largo,2,Verde con Blanco,Verano,Unisex,Pans estampado,México,Cuidado Con el Perro,304250932010742,Jorge Jiménez\imagen14\imagen14.webp
186,Sudadera,L,Azul,Verano,Hombre,Bordado,México,Cuidado Con el Perro,203250451110231,Jorge Jiménez\imagen15\imagen15.webp
187,Playera Manga Corta,M,Rosa,Verano,Unisex,Cuello v,México,Cuidado Con el Perro,103241013020730,Jorge Jiménez\imagen2\imagen2.webp
188,Playera Dragon Ball,M,Negra Llamas Azules,Verano,Unisex,Estampada,México,Cuidado Con el Perro,112250713020252,Jorge Jiménez\imagen3\imagen3.webp
189,Jeans Mezclilla,28,Azul Oscuro,Anual,Hombre,Amplio,México,Cuidado Con el Perro,103241013020730,Jorge Jiménez\imagen4\imagen4.webp
190,Sudadera Letra S,M,Gris,Anual,Hombre,Casual cuello redondo,México,Cuidado Con el Perro,210250951110109,Jorge Jiménez\imagen5\imagen5.webp
191,Pans,6,Negro lineas Blancas,Anual,Mujer,Pans recto casual,México,Cuidado Con el Perro,405250921080532,Jorge Jiménez\imagen6\imagen6.webp
192,Top Crop,S,Rojo,Verano,Mujer,Argolla corazon rojo,México,Cuidado Con el Perro,120250613070056,Jorge Jiménez\imagen7\imagen7.webp
193,Bermuda,M,Olivo,Verano,Hombre,Cargo,México,Malayerba Cuidado Con el Perro,213250323030064,Jorge Jiménez\imagen8\imagen8.webp
194,Playera con Botones,M,Verde,Verano,Mujer,Tejida,México,Cuidado Con el Perro,103250613020125,Jorge Jiménez\imagen9\imagen9.webp
195,playera tipo polo,M,Blanco,Verano,Hombre,Manga corta,México,X-Shadow,607012Xsh,Jose Daniel\Imagen1\Imagen1.webp
196,Sudadera con capucha,XXL | L | S | M | XL | G,Beige,,Hombre,Casual,,SnowElve,,Jose Daniel\Imagen10\Imagen10.webp
197,Camisa,S | M | G | L,Blanco,,Hombre,Manga larga | formal,,J'S FASHION,Generico,Jose Daniel\Imagen11\Imagen11.webp
198,Chamarra de Senderismo para Exterior,S | M | G | XL,Verde militar,,Hombre,Cuello alto | cordon ajustable | impermeable,,Angxiong,Generico,Jose Daniel\Imagen12\Imagen12.webp
199,Playera,S,Carbono Jaspeado,Verano,Hombre,Deportivo,,Nike,Hq0832-091,Jose Daniel\Imagen13\Imagen13.webp
200,Falda corta,S | M | L | XL,Negro,,Mujer,Plisada,China,YOOZME,Generico,Jose Daniel\Imagen14\Imagen14.webp
201,Blusa,M | L | S | G | XL,Negro,Verano,Mujer,Encaje | manga larga | transparencia | casual,,Moises,Generico,Jose Daniel\Imagen15\Imagen15.webp
202,Hoodie,L,Negro,,Unisex,Estampado,,,Spiderman,Jose Daniel\Imagen2\Imagen2.webp
203,Vestido,M,Azul,Fiestas,Mujer,,Mexico,Generico,,Jose Daniel\Imagen3\Imagen3.webp
204,Shorts,L,Negro,,Hombre,Deportivo,Mexico,QY2,,Jose Daniel\Imagen4\Imagen4.webp
205,Playera,L,Morado pastel,Verano,Hombre,Manga corta sin estampado | Cuello redondo,Mexico,Lacoste,TH7618_5QD,Jose Daniel\Imagen5\Imagen5.webp
206,Chamarra,M,Rosa,Otoño,Mujer,Deportivo,Mexico,CUBIC PLANET,,Jose Daniel\Imagen6\Imagen6.webp
207,Sueter,S,Azul Brezo,Invierno,Mujer,Estampado de harryPotter,Estados Unidos,,WBHH0239-60135120,Jose Daniel\Imagen7\Imagen7.webp
208,Crop Top,L,Negro,Verano,Mujer,Cuello redondo manga larga elastico,Estados Unidos,Artfish,,Jose Daniel\Imagen8\Imagen8.webp
209,Camisa,M,Beige,Otoño,Mujer,Cuadros manga larga cuello en v con botones,China,Yiqinyuan,,Jose Daniel\Imagen9\Imagen9.webp
210,Chaqueta de mezclilla,M,Negro,Invierno,Hombre,Clásico,México,Optima,Black Jacket 201,Juan Montero\Imagen 1\imagen 1.webp
211,Pantalón de Vestir,32,Gris,Otoño,Hombre,Formal,México,Robert's,Anatomic Technolog,Juan Montero\Imagen 10\imagen 10.webp
212,Jeans,32,Azul Marino,Otoño,Hombre,Casual,México,Cuidado con el Perro,Dark Blue Jeans DBJ278,Juan Montero\Imagen 11\imagen 11.webp
213,Sudadera,M,Blanco,Otoño,Hombre,Casual,México,Yellow Images,Swearshirt PSD 4556,Juan Montero\Imagen 12\Imagen 12.webp
214,Pants,M,Gris,Otoño,Unisex,Deportivo,México,Optima,Gre,Juan Montero\Imagen 13\imagen 13.webp
215,Sweater,M,Beige,Invierno,Hombre,Smart casual,México,Optima,Homebound Crewneck Sweater 7614,Juan Montero\Imagen 14\imagen 14.webp
216,Sweater,M,Verde,Invierno,Hombre,Smart casual,México,Optima,Homebound Crewneck Sweater 7849,Juan Montero\Imagen 15\imagen 15.webp
217,Chaqueta de mezclilla,M,Gris,Invierno,Hombre,Clásico,México,Optima,Black Jacket 201,Juan Montero\Imagen 2\imagen 2.webp
218,Sudadera,M,Gris,Otoño,Unisex,Casual,México,Optima,Hooddie Casual 504,Juan Montero\Imagen 3\imagen 3.webp
219,Playera,M,Beige,Verano,Hombre,Casual,China,Oops Jeans,Great T-shirt-Beige,Juan Montero\Imagen 4\imagen 4.webp
220,Playera,M,Verde,Verano,Hombre,Casual,China,Oops Jeans,Great T-shirt-Green,Juan Montero\Imagen 5\imagen 5.webp
221,Camisa manga corta,M,Vino,Verano,Hombre,Casual,China,Optima,Beach Shirt,Juan Montero\Imagen 6\imagen 6.webp
222,Camisa manga corta,M,Verde,Verano,Hombre,Casual,China,Optima,Beach Shirt,Juan Montero\Imagen 7\imagen 7.webp
223,Camisa manga corta,M,Blanca,Verano,Hombre,Casual,China,Optima,Beach Shirt,Juan Montero\Imagen 8\imagen 8.webp
224,Pantalón de vestir,32,Negro,Otoño,Hombre,Formal,México,Robert's,Pantalón Contemporar,Juan Montero\Imagen 9\imagen 9.webp
225,Vestido camisero de manga larga con pliegues,M,Gris,Otoño,Mujer,Casual | Formal,China,Generica,Generica,Kenneth Mendoza\Imagen 1\Imagen 1.webp
226,Guantes tacticos,M | XL | G,Verde,,Unisex,Tactico,,Vmimv,Enhanced,Kenneth Mendoza\Imagen 10\Imagen 10.webp
227,Corbata,UNITALLA,Azul oscuro,,Hombre,Formal,,Generica,Generica,Kenneth Mendoza\Imagen 11\Imagen 11.webp
228,Vestido largo,M | XL |,Rojo,Primavera | Verano,Mujer,Casual | Formal,,Generica,Generica,Kenneth Mendoza\Imagen 12\Imagen 12.webp
229,Pantalon de vestir,S | M | XL,Negro,Primavera | Verano,Mujer,Casual | Formal,,GO,Stretch Elegante,Kenneth Mendoza\Imagen 13\Imagen 13.webp
230,Playera,S | M | G,Negro,,Hombre,Casual,,LZ,Jack Daniels,Kenneth Mendoza\Imagen 14\Imagen 14.webp
231,Guantes para motociclista,M | G | XL | XXL,Negro,,Unisex,Casual,,Ghost Racing,Generica,Kenneth Mendoza\Imagen 15\Imagen 15.webp
232,Blusa sin mangas,M | L,Gris,Primavera | Verano,Mujer,Casual | trabajo,,MESSINA ALPS,,Kenneth Mendoza\Imagen 2\Imagen 2.webp
233,Calcetines cortos,UNITALLA,Negro,,Hombre,Casual,,anthichen,YDDW,Kenneth Mendoza\Imagen 3\Imagen 3.webp
234,Gorra Puma Gold Metal Cat,UNITALLA,Negro,,Unisex,Casual,,Puma,2415801,Kenneth Mendoza\Imagen 4\Imagen 4.webp
235,Gorra lisa curva,UNITALLA,Rosa,Primavera | Verano,Unisex,Casual,,Generica,Basica,Kenneth Mendoza\Imagen 5\Imagen 5.webp
236,Bufanda Bordada De Harr,L,Rojo,,Unisex,Casual,,Gdrabo,XHL-1,Kenneth Mendoza\Imagen 6\Imagen 6.webp
237,Bufanda Rothco Coyote,UNITALLA,Marrón,,Unisex,Casual | Formal,,Rothco,4537 Coyote,Kenneth Mendoza\Imagen 7\Imagen 7.webp
238,Falda deportiva,S | M | L | XL | XXL,Azul,,Mujer,Deportivo,,Qmczla,Falda deportiva de lycra,Kenneth Mendoza\Imagen 8\Imagen 8.webp
239,Calceta deportiva,UNITALLA,Negro,,Hombre,Diario,,foofoo,nautica,Kenneth Mendoza\Imagen 9\Imagen 9.webp
240,Chamarra de forro polar,S,Beige,Primavera | Otoño | Invierno,Mujer,Casual,Estados Unidos,Pioneer Camp,B0DFZ18F59,Mauricio Gonzalez\img_1\img_1.webp
241,Falda Alta de Malla de Tul,M,Rosa,Primavera | Verano,Mujer,Elegante o casual,Reino Unido,Tree Nest,B0CLN5S6C1,Mauricio Gonzalez\img_10\img_10.webp
242,Capa Medieval de Dunas,200 CM | 78 | 7,Cafe,Primavera | Verano | Invierno,Unisex,Cospla,China,AUTOWT,B0FB3VFY2Z,Mauricio Gonzalez\img_11\img_11.webp
243,Pantalones de trabajo,L,Rojo,Primavera | Verano | Otoño,Mujer,Casual,China,PRETTYGARDEN,B0D11C2Y3W,Mauricio Gonzalez\img_12\img_12.webp
244,Chamarra impermeable,M,Amarillo,Otoño | Invierno | Verano,Mujer,Casual,Estados Unidos,GIISAM,B0B4355F68,Mauricio Gonzalez\img_13\img_13.webp
245,Sudadera deportiva,S,Gris,Verano,Mujer,Casual,Mexico,Lviefent,B09Z74R4SH,Mauricio Gonzalez\img_14\img_14.webp
246,Blusa de manga corta,S,Rosa,Verano,Mujer,Casual,China,French Toast,B01DDDJ1DC,Mauricio Gonzalez\img_15\img_15.webp
247,Chamarra con capucha,L,Negro,Primavera | Otoño | Invierno,Unisex,Casual,Estados Unidos,Riparo,B0FHHN7KBX,Mauricio Gonzalez\img_2\img_2.webp
248,Playera clásica de Manga Corta,L,Negro,Primavera | Otoño,Hombre,Casual,Francia,Lacoste,B073SHLJWC,Mauricio Gonzalez\img_3\img_3.webp
249,Disne,L,Negro,Invierno | Otoño,Hombre,Casual,Estados Unidos,Disney,B072JPWGLM,Mauricio Gonzalez\img_4\img_4.webp
250,Nautica Playera gráfica de Bandera,M,Azul marino,Invierno | Otoño,Hombre,Clasico,Guatemala,Nautica,B08CWL9C2J,Mauricio Gonzalez\img_5\img_5.webp
251,Playera,M,Negro,Otoño,Hombre,Casual,India,Tomm,MW0MW36498,Mauricio Gonzalez\img_6\img_6.webp
252,Playera,XL,Blanco,Verano,Hombre,Casual,Mexico,HUGO BOSS,50522376,Mauricio Gonzalez\img_7\img_7.webp
253,Camisas de Manga Larga,S,Verde,Otoño | Invierno | Verano,Hombre,Pesca,China,Tuna,B089W1ZLRZ,Mauricio Gonzalez\img_8\img_8.webp
254,Legging para Deporte,S,Negro,Primavera | Verano,Mujer,Sport,Indonesia,Adidas,28883,Mauricio Gonzalez\img_9\img_9.webp
255,Gabardina Mujer Doble Botonadura,S,Sólido Parka,Otoño,Mujer,Casual-elegante,China,Targogo,Gabardina Mujer Manga Larga De Solapa Slim Fit Outerwear Windbreaker,MiriamB\Imagen_1\imagen1.webp
256,Pantalones Deportivos Rectos De Poliéster,S,Black,Verano,Mujer,Deportivo,China,Genetic,2362247501001,MiriamB\Imagen_10\imagen10.webp
257,Pantalones Holgados Deportivos Con Drapeado,M,White,Verano,Mujer,Deportivo,China,Generic,q1,MiriamB\Imagen_11\imagen11.webp
258,Pantalones Cortos De Mezclilla De Cintura Alta,M,Blue,Verano,Mujer,Straight pants,Southeast Asia,Generic,876272,MiriamB\Imagen_12\imagen12.webp
259,Pantalones Cortos De Mezclilla De Cintura Alta Con Correas,M,Light blue,Verano,Mujer,Vesatil,Asia,Generic,D4235,MiriamB\Imagen_13\imagen13.webp
260,Pantalones Casuales Morados De Poliéster,L,Purple,Verano,Hombre,Deportivo,China,Mens Sports,PM983,MiriamB\Imagen_14\imagen14.webp
261,Jerse,S,812 White,Otoño,Hombre,Casual,Southeast Asia,Generic,Lp9765,MiriamB\Imagen_15\imagen15.webp
262,Abrigo de felpa empalme con capucha manga larga,M,Brown1,Invierno,Chic,China,Jaet,Jaet Brown,,MiriamB\Imagen_2\imagen2.webp
263,Abrigo Con Capucha Para Mujer,M,Azul Mezclilla,Invierno,Mujer,Casual,China,YOUMU,,MiriamB\Imagen_3\imagen3.webp
264,Chamarra Cálida De Terciopelo Con Capucha,S,Beige,Invierno,Mujer,Casual,China,Alan,Generic,MiriamB\Imagen_4\imagen4.webp
265,Sudadera Holgada Con Capucha Estampada Para Hombre,L,Brown,Otoño,Hombre,Urbano,EEUU,Generic,Generic,MiriamB\Imagen_5\imagen5.webp
266,Suéter De Mujer De Tela Acrílica Con Cuello Redondo,S,Beige,Otoño,Mujer,Casual,China,Generic,2362254133001,MiriamB\Imagen_6\imagen6.webp
267,Jerse,L,Blanco,Invierno,Mujer,Casual,China,Generic,Generic,MiriamB\Imagen_7\imagen7.webp
268,Jerse,M,Light gray,Otoño,Mujer,Estilo jerse | Que proporciona facilidad de uso | Un atractivo moderno,Holanda,Generic,Generic,MiriamB\Imagen_8\imagen8.webp
269,Pantalones Rectos De Cintura Alta,L,Coffee color,Verano,Mujer,Versatil,Europa,Generic,KJ33,MiriamB\Imagen_9\imagen9.webp
270,chamarra de forro polar,L,azul marino,Otoño | Invierno,Hombre,Casual | A cuadros | Con forro sherpa,vendido por Qierssee,NQyIOS,NexsJY2Yd,Monica Galvan\Imagen 1\imagen 1.webp
271,Sudadera con capucha,M,Caqui,Todo el año,Hombre,Deportivo | Clásico fit | Con bandas laterales | Gorro ajustable,México,Lacoste,SH7457_BMY,Monica Galvan\Imagen 10\imagen 10.webp
272,Falda casual bohemia,UNITALLA,Blanco,Primavera | Verano,Mujer,Bohemio | Holgado,China,COLIZAMX,,Monica Galvan\Imagen 11\imagen 11.webp
273,Vestido largo sin mangas,M,Rojo,Primavera | Verano,Mujer,Casual | Bohemio | Cuello halter | Plisado,China,COLIZAMX,,Monica Galvan\Imagen 12\imagen 12.webp
274,Vestido maxi estilo “milk maid”,L,E,Verano | Primavera,Mujer,Bohemio | Romántico | Casual de playa | Cuello cuadrado | Manga abullonada,,Virbit,Listado con ASIN de Amazon,Monica Galvan\Imagen 13\imagen 13.webp
275,Gabardina,L,Caqui,Otoño | Invierno,Mujer,Clásico | Formal | Con cinturón | Capucha desmontable,China,CREATMO US,,Monica Galvan\Imagen 14\imagen 14.webp
276,Abrigo,M | L | XXL | XXXL | 4XL | S,Azul M,Invierno,Mujer,Abrigo acolchado | Cálido | Con capucha extraíble,China,CREATMO US,Abrigo de invierno grueso con sherpa,Monica Galvan\Imagen 15\imagen 15.webp
277,suéter de cuello redondo,L,púrpura,Otoño | Invierno,Hombre,Casual | Acanalado | Diseño sólido | Ajuste delgado,,,,Monica Galvan\Imagen 2\imagen 2.webp
278,Chaqueta,M,Azul,Otoño | invierno,Mujer,Casual | Cálido | De forro polar con capucha | Botones,China,WOMICHEFI,,Monica Galvan\Imagen 3\imagen 3.webp
279,Pashmina,UNITALLA,Khaki,Otoño | Invierno,Mujer,Casual | Elegante | Tipo bufanda | Capa o chal,China,,,Monica Galvan\Imagen 4\imagen 4.webp
280,Chamarra tipo cargo de invierno con forro sherpa,M,Azul-A,Otoño | Invierno,Hombre,Clásico | Casual | Gruesa | Cálida para exteriores,,JUNGE,ASIN B0 correspondiente al listado,Monica Galvan\Imagen 5\imagen 5.webp
281,Jeans rectos,25 | 31,Dejar de linaje,Todo el año,Mujer,Holgado | Corte recto | L | Cintura media con lazo anudado,,Levi’s,XL Straight,Monica Galvan\Imagen 6\imagen 6.webp
282,Falda midi de mezclilla con botones frontales,24,Artesanía limpia,Todo el año,Mujer,Casual | Atemporal | Con silueta midi | Acabado patchwork,Importado desde Estados Unidos,Levi’s,Button Midi Skirt Patch,Monica Galvan\Imagen 7\imagen 7.webp
283,Polo de tenis sin mangas,2,Phoeni,Primavera | Verano,Mujer,Deportivo | Corte delgado | Ajustado | Con cuello | Botón,Importado desde Estados Unidos,Lacoste,ASIN B0FQNTZ191,Monica Galvan\Imagen 8\imagen 8.webp
284,Cárdigan de punto con cuello en V,6,Azul marino,Otoño | Invierno,Mujer,Clásico | Casual-elegante | Deportivo con logotipo bordado,Importado desde Estados Unidos,Lacoste,Número de modelo AF4143-51,Monica Galvan\Imagen 9\imagen 9.webp
285,Camisa,M,Azul,Verano,Hombre,Casual,México,Zara,Slim Fit,Yairat Secundino Venegas\Imagen1\imagen1.webp
286,Abrigo,L,Negro,Invierno,Mujer,Elegante,Inglaterra,Burberry,Classic Coat,Yairat Secundino Venegas\Imagen10\imagen10.webp
287,Traje,40,Azul marino,Todo el año,Hombre,Formal,Italia,Armani,Executive Fit,Yairat Secundino Venegas\Imagen11\imagen11.webp
288,Suéter,M,Marrón,Otoño,Unisex,Vintage,Argentina,Cardón,Knitwear,Yairat Secundino Venegas\Imagen12\imagen12.webp
289,Pantalón deportivo,M,Gris oscuro,Todo el año,Hombre,Deportivo,Estados Unidos,Adidas,Jogger Fit,Yairat Secundino Venegas\Imagen13\imagen13.webp
290,Chaqueta,S,Verde militar,Otoño,Mujer,Urbano,Canadá,The North Face,Windbreaker,Yairat Secundino Venegas\Imagen14\imagen14.webp
291,Zapatos,26,Negro,Todo el año,Unisex,Formal,México,Flexi,Clásico 1020,Yairat Secundino Venegas\Imagen15\imagen15.webp
292,Pantalón,32,Negro,Invierno,Unisex,Urbano,España,Levi’s,511 Skinny,Yairat Secundino Venegas\Imagen2\imagen2.webp
293,Vestido,S,Rojo,Primavera,Mujer,Elegante,Italia,Gucci,Evening Dress,Yairat Secundino Venegas\Imagen3\imagen3.webp
294,Sudadera,L,Gris,Otoño,Hombre,Deportivo,Estados Unidos,Nike,Hoodie Air,Yairat Secundino Venegas\Imagen4\imagen4.webp
295,Falda,M,Verde,Verano,Mujer,Casual,Francia,Chanel,Mini Skirt,Yairat Secundino Venegas\Imagen5\imagen5.webp
296,Playera,L,Blanco,Todo el año,Unisex,Básico,México,Pull&Bear,Essential Tee,Yairat Secundino Venegas\Imagen6\imagen6.webp
297,Chamarra,M,Café,Invierno,Hombre,Formal,Alemania,Hugo Boss,Leather Jacket,Yairat Secundino Venegas\Imagen7\imagen7.webp
298,Blusa,S,Amarillo,Primavera,Mujer,Romántico,Colombia,Studio F,Floral Top,Yairat Secundino Venegas\Imagen8\imagen8.webp
299,Shorts,30,Beige,Verano,Hombre,Playero,Brasil,Havaianas,Beachwear,Yairat Secundino Venegas\Imagen9\imagen9.webp
